title,price,img
Daikin 1.5 Ton 3 Star Inverter Split AC (Copper. PM 2.5 Filter. Triple Display. Dew Clean Technology. Coanda Airflow. 2023 Model. MTKL50U. White),₹36,990,https://m.media-amazon.com/images/I/61pzTsT7ZgL._AC_UL320_.jpg
Daikin 1.5 Ton 5 Star Inverter Split AC (Copper. PM 2.5 Filter. 2023 Model. MTKM50U. White),₹45,490,https://m.media-amazon.com/images/I/61HuUBy7XIL._AC_UL320_.jpg
Daikin 0.8 Ton 3 Star. Fixed Speed Split AC (Copper. PM 2.5 Filter. 2022 Model. FTL28U. White),₹25,990,https://m.media-amazon.com/images/I/61mOVGinDdL._AC_UL320_.jpg
Godrej 1 Ton 3 Star. 5-In-1 Convertible Cooling. Inverter Split AC (Copper. I-Sense Technology. 2023 Model. AC 1T EI 12TINV3R32-GWA Split. White),₹28,990,https://m.media-amazon.com/images/I/514j-RPeWyL._AC_UL320_.jpg
Lloyd 1.0 Ton 5 Star Inverter Split AC (5 in 1 Convertible. Copper. Anti-Viral + PM 2.5 Filter. 2023 Model. White with Chrome Deco Strip. GLS12I5FWBEV),₹35,490,https://m.media-amazon.com/images/I/314HZjxgjUL._AC_UL320_.jpg
Voltas 1.4 Ton 3 Star Inverter Split AC(Copper. Adjustable Cooling. Anti-dust Filter. 2023 Model. 173V Vectra Platina. White),₹31,490,https://m.media-amazon.com/images/I/51NbjzUopGL._AC_UL320_.jpg
Voltas 1.5 Ton 3 Star. Fixed Speed Window AC (Copper. Turbo Mode. 2023 Model. 183 Vectra Pearl. White),₹30,990,https://m.media-amazon.com/images/I/61hrzDc3aTL._AC_UL320_.jpg
Daikin 1 Ton 5 Star Inverter Split AC (Copper. PM 2.5 Filter. 2022 Model. MTKM35U. White),₹38,990,https://m.media-amazon.com/images/I/61HuUBy7XIL._AC_UL320_.jpg
Cruise 1 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper. Auto Convertible. PM 2.5 Filter. 2024 Model. CWCVBH-VQ1W123. White),₹26,490,https://m.media-amazon.com/images/I/51QrNY6zUBL._AC_UL320_.jpg
Samsung 1.5 Ton 5 Star (5-in-1 Convertible Cooling. 2023 Model. AR18CYNZABE. Stabilizer Free Operation. Inverter Split AC. White,₹41,990,https://m.media-amazon.com/images/I/51Ng7N+PcBL._AC_UL320_.jpg
Daikin 1.8 Ton 3 Star Inverter Split AC (Copper. Anti Bacterial Filter. ATKL60UV16. White),₹49,990,https://m.media-amazon.com/images/I/416aYDOny1L._AC_UL320_.jpg
Carrier 1 Ton 3 Star AI Flexicool Inverter Split AC (Copper. Convertible 4-in-1 Cooling.Dual Filtration with HD & PM 2.5 Filter. Auto Cleanser. 2023 Model.ESTER Exi - CAI12ER3R33F0.White),₹29,990,https://m.media-amazon.com/images/I/514eo-YCCNL._AC_UL320_.jpg
Godrej 1.5 Ton 3 Star. Turbo Mode. Window AC (Copper. Anti Corrosive Blue Fin. 2023 Model. AC 1.5T WFC 18UTC3-WWA Window. White),null,https://m.media-amazon.com/images/I/61VDS7VLHpL._AC_UL320_.jpg
Voltas 1 Ton 3 Star. Fixed Speed Window AC (Copper. Turbo Mode. 2023 Model. 123 Vectra Platina. White),null,https://m.media-amazon.com/images/I/81eJzRI-zHL._AC_UL320_.jpg
Haier 1.25 Ton 3 Star Twin Inverter Split AC (Copper. 5 in 1 Convertible. Anti Bacterial Filter. Cools at 54°C Temp. Long Air Throw - HSU15V-TMS3BE-INV.White.2024 Model),₹30,990,https://m.media-amazon.com/images/I/51tTSPJbpsL._AC_UL320_.jpg
Godrej 2 Ton 5 Star. 5-In-1 Convertible Cooling. Inverter Split AC (Copper. 4-way Air Swing. 2023 Model. EI 24LINV5R32-WWR. White),₹49,490,https://m.media-amazon.com/images/I/51j9wyCEtyL._AC_UL320_.jpg
Carrier 1.5 Ton 3 Star AI Flexicool Inverter Split AC (Copper. Convertible 4-in-1 Cooling.High Density Filter. Auto Cleanser. 2023 Model.ESTER Exi - CAI18ER3R32F0.White),₹38,990,https://m.media-amazon.com/images/I/512J3gqzLuL._AC_UL320_.jpg
LG 1 Ton 4 Star AI DUAL Inverter Split AC (Copper. AI Convertible 6-in-1 Cooling. HD Filter with Anti Virus Protection. 2023 Model. RS-Q13JNYE. White),₹34,990,https://m.media-amazon.com/images/I/51pP1nCDo8L._AC_UL320_.jpg
Lloyd 1.5 Ton 5 Star Inverter Split AC (5 in 1 Convertible. 100% Copper. Anti-Viral + PM 2.5 Filter. 2023 Model. White with Chrome Deco Strip. GLS18I5FWBEV),₹39,990,https://m.media-amazon.com/images/I/314HZjxgjUL._AC_UL320_.jpg
Samsung 1.5 Ton 5 Star (5-in-1 Convertible Wind-Free Cooling. 2023 Model. AR18CYNAMWK). Stabilizer Free Operation. Inverter Split AC. White,₹43,990,https://m.media-amazon.com/images/I/71yL9n+L4-L._AC_UL320_.jpg
Carrier 1.5 Ton 5 Star AI Flexicool Inverter Split AC (Copper. Convertible 6-in-1 Cooling.Dual Filtration with HD & PM 2.5 Filter. Auto Cleanser. 2023 Model.ESTER Exi -CAI18ES5R33F0 .White),₹45,880,https://m.media-amazon.com/images/I/51joCIotxEL._AC_UL320_.jpg
Voltas 1.5 Ton 5 Star. Inverter Split AC(Copper. 4-in-1 Adjustable Mode. Anti-dust Filter. 2023 Model. 185V Vectra Elegant.White),null,https://m.media-amazon.com/images/I/51ayyOq4zeL._AC_UL320_.jpg
Carrier 2 Ton 5 Star AI Flexicool Inverter Split AC (Copper. Convertible 6-in-1 Cooling.Dual Filtration. Auto Cleanser. 2023 Model.ESTER Exi -CAI24ES5R33F0 .White),₹58,990,https://m.media-amazon.com/images/I/61v6ww+cFlL._AC_UL320_.jpg
Hitachi 1.5 Ton 5 Star ice Clean Xpandable Plus Inverter Split AC (100% Copper. Dust Filter. 2024 Model. Yoshi 5400FXL. R32-RAS.G518PCBISF. Dual Platinum),null,https://m.media-amazon.com/images/I/510xASFjJgL._AC_UL320_.jpg
Blue Star 1.5 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split Air Conditioner (IC518YNU. White),₹43,990,https://m.media-amazon.com/images/I/61nF5ekaaPL._AC_UL320_.jpg
Voltas 1.5 Ton 3 Star. Inverter Split AC(Copper. 4-in-1 Adjustable Mode. Anti-dust Filter. 2023 Model. 183V Vectra Prime. White),null,https://m.media-amazon.com/images/I/41BD0L1mzJL._AC_UL320_.jpg
Carrier 2 Ton 3 Star AI Flexicool Inverter Split AC (Copper. Convertible 4-in-1 Cooling.Dual Filtration. Auto Cleanser. 2023 Model.ESTER Exi - CAI24ES3R32F0.White),₹49,990,https://m.media-amazon.com/images/I/51joCIotxEL._AC_UL320_.jpg
LG 1.5 Ton 4 Star Inverter Split AC (Copper. 5-in-1 Convertible Cooling. HD Filter with Anti-Virus Protection. 2021 Model. MS-Q18KNYA. White). large,₹39,990,https://m.media-amazon.com/images/I/31-aLvfJSoL._AC_UL320_.jpg
Blue Star 1.5 Ton 3 Star 5 in 1 Convertible Inverter Split AC (Copper. Multi Sensors. Stabalizer Free Operation. Self Diagnosis. 2023 Model. IA318FNU. White),₹38,990,https://m.media-amazon.com/images/I/31oqaSy8AFL._AC_UL320_.jpg
LG 1.5 Ton 5 Star DUAL Inverter Window AC (Copper. Convertible 4-in-1 cooling. RW-Q18WUZA. 2023 Model. HD Filter with Anti-Virus Protection. White),₹44,490,https://m.media-amazon.com/images/I/612bZ+umdzL._AC_UL320_.jpg
Samsung 1.5 Ton 3 Star Wind-Free Technology Inverter Split AC (Copper. Convertible 5-in-1 Cooling Mode. Anti-bacterial Filter. 2023 Model AR18CYLAMWK White),₹38,699,https://m.media-amazon.com/images/I/71NP-aE3z-L._AC_UL320_.jpg
Hitachi 1.5 Ton 3 Star ice Clean Xpandable Plus Inverter Split AC (100% Copper. Dust Filter. 2024 Model. iZen 3400FXL. R32-RAS.G318PCBISF. Dual Gold),₹39,900,https://m.media-amazon.com/images/I/51qAUryQ5DL._AC_UL320_.jpg
Godrej 1 Ton 5 Star. 5-In-1 Convertible Cooling. Inverter Split AC (Copper. I-Sense Technology. 2023 Model. AC 1T EI 12TINV5R32-GWA Split / AC 1T EI 12TINV5R32-RWB Split. White),₹32,990,https://m.media-amazon.com/images/I/41ImBPm1ZxL._AC_UL320_.jpg
Panasonic 1 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser. 7 in 1 Convertible with AI. 4 Way Swing. PM Filter. CS/CU-NU12YKY5W.2023 Model. White),₹42,490,https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg
Blue Star 1.5 Ton 4 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper. Multi Sensors. Dust Filter. Smart Ready. Blue Fins. Self Diagnosis. 2023Model.IA418DNU.White),₹40,990,https://m.media-amazon.com/images/I/411OkArv2rL._AC_UL320_.jpg
Blue Star 1 Ton 5 Star Convertible 5 in 1 Cooling Inverter Split AC (Copper. Multi Sensors. Dust Filters. Smart Ready. Blue Fins. Self Diagnosis. 2023Model. IC512YNU.White),₹38,990,https://m.media-amazon.com/images/I/61nF5ekaaPL._AC_UL320_.jpg
Panasonic 1 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser. 7 in 1 Convertible with additional AI Mode. 4 Way Swing. PM 0.1 Air Purification Filter. CS/CU-NU12YKY4W.2023 Model. White),₹34,990,https://m.media-amazon.com/images/I/61zXnk6ikEL._AC_UL320_.jpg
Whirlpool 1.5 Ton 5 Star. Flexicool Inverter Split AC (Copper. Convertible 4-in-1 Cooling Mode. HD Filter 2023 Model. S3I3AD0. White),null,https://m.media-amazon.com/images/I/51B6oZqK6bL._AC_UL320_.jpg
Blue Star 1.5 Ton 3 Star Fixed Speed Window AC (Copper. Turbo Cool. Humidity Control. Hydrophilic Blue Fins. Dust Filters. Self-Diagnosis. 2023 Model. WFA318LN. White),₹34,440,https://m.media-amazon.com/images/I/61ZpGVUqrJL._AC_UL320_.jpg
Carrier 1.5 Ton 5 Star Inverter Split AC (Copper.ESTER Dxi. 6-in-1 Flexicool Inverter. 2022 Model.R32 .White),₹45,580,https://m.media-amazon.com/images/I/61JtwWcAcoL._AC_UL320_.jpg
Godrej 1.5 Ton 5 Star. 5-in-1 Convertible Cooling. Inverter Split AC (Copper. Heavy Duty Cooling At 52°C. Anti-dust Filter. 2023 Model. AC 1.5T EI 18IINV5R32 WWR. White),₹36,990,https://m.media-amazon.com/images/I/51n0D27hQnL._AC_UL320_.jpg
Blue Star 1.5 Ton 5 Star Fixed Speed Window AC (Copper. Turbo Cool. Humidity Control. Fan Modes-Auto/High/Medium/Low. Hydrophilic Blue Fins. Dust Filter. Self-Diagnosis. 2023 Model. WFA518LN. White),null,https://m.media-amazon.com/images/I/716Th8S+-FL._AC_UL320_.jpg
Blue Star 4 in 1 Convertible 2 Ton 3 Star Inverter Split Air Conditioner with Dust Filter (Copper Condenser. IA324YNU),₹49,410,https://m.media-amazon.com/images/I/41K8zEvR84L._AC_UL320_.jpg
Panasonic 1.5 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper. 7 in 1 Convertible with additional AI Mode. 4 Way Swing. nanoe-G Air Purification Filter. CS/CU-PU18YKY4W.2023 Model. White),₹41,990,https://m.media-amazon.com/images/I/71c-Op0z-tL._AC_UL320_.jpg
Voltas Split Air Conditioner SAC 185V CAZZ. White. (4503222),₹39,990,https://m.media-amazon.com/images/I/61a-F8WxWOL._AC_UL320_.jpg
